id,name,description,sortOrder,disabled,purpose,meaning,textureUuid,tags,domainNotes,categoryId,constructionRoles,octaveTie,symbolCue
ignis,Ignis,Elemental fire glyph. Core of thermic and ignition patterns.,10,false,fire,Fire - heat combustion ignition,,fire|heat|ignition|elemental,"{""elemental"":""Primary fire concept"",""war"":""Explosive / thermic payloads""}",elemental,concept,3,Angular flame-shaped glyph
aqua,Aqua,Elemental water glyph. Flow and cohesion patterns.,20,false,water,Water - flow cohesion dissolution,,water|flow|dissolution|elemental,"{""elemental"":""Primary water concept""}",elemental,concept,2,Wave or droplet glyph
ventus,Ventus,Elemental air glyph. Motion and pressure patterns.,30,false,air,Air - movement pressure levitation,,air|motion|levitation|elemental,"{""elemental"":""Primary air concept""}",elemental,concept,3,Swirled air glyph
terra,Terra,Elemental earth glyph. Mass and solidity patterns.,40,false,earth,Earth - solidity stability mass,,earth|solidity|mass|elemental,"{""elemental"":""Primary earth concept""}",elemental,concept,2,Block or mountain glyph
lux,Lux,Elemental light glyph. Illumination and radiance.,50,false,light,Light - illumination radiance,,light|reveal|illumination|elemental,"{""elemental"":""Photomantic focus"",""divine"":""Revelation / purity""}",elemental,concept,4,Radiant star or lamp glyph
umbra,Umbra,Elemental shadow glyph. Concealment patterns.,60,false,shadow,Shadow - concealment darkness,,shadow|conceal|darkness|elemental,"{""elemental"":""Concealment"",""shadow"":""Primary shadow concept""}",elemental,concept,4,Crescent shadow glyph
fulmen,Fulmen,Elemental lightning glyph. Sudden disruptive force.,70,false,lightning,Lightning - sudden force disruption,,lightning|disruption|elemental,"{""elemental"":""Sudden force"",""war"":""Disruptive strike""}",elemental,concept,3,Forked bolt glyph
gelus,Gelus,Elemental cold glyph. Freezing and preservation.,80,false,cold,Cold - freezing slowing preservation,,cold|freeze|slow|elemental,"{""elemental"":""Cryic patterns""}",elemental,concept,2,Frost crystal glyph
impello,Impello,Force outward. Core kinetic projection rune.,100,false,push,Push - force outward,,push|kinetic|force,"{""war"":""Telekinetic blast""}",force,force,3,Arrow with force lines
traho,Traho,Force inward. Pull and draw patterns.,110,false,pull,Pull - force inward,,pull|kinetic|force,,force,force,3,Inward arrow glyph
