id,name,icon,description,image,vocation_id,prerequisites,xp_cost,free_advances,stat_minimums,stat_maximums,enabled
academic,Academic,📚,A scholar dedicated to learning and research.,classes/Class_Overview_academic.png,,student,1000,sage;physician,{},"{""stealth"":3,""survival"":6,""wisdom"":7,""fighting"":2,""will"":6,""endurance"":3,""intelligence"":7,""awareness"":7,""healing"":7,""influence"":6,""persuasion"":6,""knowledge"":7,""entertaining"":4,""crafting"":5,""marksmanship"":2,""deception"":5,""thievery"":3,""agility"":4,""athletics"":3,""animal_handling"":5}",TRUE
adventurer,Adventurer,🗡️,A wanderer seeking fortune and glory.,classes/Class_Overview_adventurer.png,,,750,mercenary;bard;rogue,{},"{""will"":3,""crafting"":3,""intelligence"":3,""entertaining"":3,""agility"":6,""persuasion"":4,""deception"":6,""awareness"":4,""healing"":3,""wisdom"":3,""knowledge"":3,""fighting"":4,""endurance"":5,""stealth"":4,""animal_handling"":4,""influence"":3,""marksmanship"":5,""thievery"":3,""athletics"":5,""survival"":4}",TRUE
advisor,Advisor,📜,A trusted counselor to nobles and rulers.,classes/Class_Overview_advisor.png,,courtier;scholar;monk;priest;num;courtier,1500,steward;sage,{},"{""thievery"":3,""entertaining"":4,""animal_handling"":5,""influence"":6,""awareness"":7,""fighting"":2,""wisdom"":7,""marksmanship"":2,""agility"":4,""deception"":5,""healing"":7,""stealth"":3,""knowledge"":7,""survival"":6,""intelligence"":7,""persuasion"":6,""athletics"":3,""crafting"":5,""endurance"":3,""will"":6}",TRUE
alchemist,Alchemist,⚗️,A practitioner of arcane chemistry.,classes/Class_Overview_alchemist.png,,apothecary;mage,1500,enchanter;physician,{},"{""athletics"":2,""fighting"":2,""agility"":2,""healing"":4,""endurance"":3,""wisdom"":5,""knowledge"":6,""influence"":2,""intelligence"":8,""persuasion"":2,""stealth"":2,""crafting"":8,""survival"":2,""will"":6,""marksmanship"":2,""entertaining"":4,""deception"":3,""awareness"":5,""animal_handling"":2,""thievery"":2}",TRUE
apothecary,Apothecary,💊,A healer who prepares medicines and remedies.,classes/Class_Overview_apothecary.png,,herbalist,1000,alchemist;physician,{},"{""agility"":4,""awareness"":5,""healing"":2,""fighting"":3,""deception"":3,""endurance"":3,""marksmanship"":3,""thievery"":2,""stealth"":2,""knowledge"":2,""athletics"":5,""entertaining"":3,""wisdom"":5,""survival"":2,""influence"":6,""intelligence"":6,""persuasion"":2,""crafting"":2,""animal_handling"":3,""will"":2}",TRUE
apprentice,Apprentice,📖,A student learning a trade or craft.,classes/Class_Overview_apprentice.png,,,0,craftsman;artisan;smith,{},"{""fighting"":2,""persuasion"":2,""entertaining"":2,""will"":4,""wisdom"":5,""endurance"":2,""intelligence"":5,""awareness"":3,""influence"":2,""athletics"":2,""animal_handling"":3,""knowledge"":5,""crafting"":6,""survival"":2,""healing"":6,""marksmanship"":2,""deception"":4,""thievery"":2,""agility"":3,""stealth"":2}",TRUE
archer,Archer,🏹,A skilled marksman with bow and arrow.,classes/Class_Overview_archer.png,,hunter;soldier;warrior,1000,ranger;scout,{},"{""thievery"":2,""athletics"":6,""entertaining"":2,""survival"":5,""influence"":2,""stealth"":2,""will"":2,""agility"":7,""animal_handling"":4,""knowledge"":2,""persuasion"":4,""fighting"":5,""wisdom"":2,""deception"":2,""healing"":3,""awareness"":5,""intelligence"":2,""marksmanship"":8,""endurance"":4,""crafting"":4}",TRUE
artillerist,Artillerist,💣,An expert in siege weapons and cannons.,classes/Class_Overview_artillerist.png,,engineer;knight;scholar,2000,warmage,"{""knowledge"":3,""crafting"":4,""intelligence"":3}","{""athletics"":6,""wisdom"":4,""thievery"":2,""marksmanship"":6,""entertaining"":2,""knowledge"":3,""agility"":4,""persuasion"":2,""animal_handling"":3,""influence"":2,""awareness"":4,""fighting"":6,""crafting"":4,""healing"":3,""endurance"":4,""stealth"":2,""survival"":3,""will"":3,""intelligence"":4,""deception"":2}",TRUE
artisan,Artisan,🛠️,A skilled craftsperson of fine goods.,classes/Class_Overview_artisan.png,,craftsman,1000,artist;engineer,"{""intelligence"":2,""crafting"":4}","{""awareness"":5,""stealth"":4,""agility"":4,""influence"":3,""deception"":5,""thievery"":3,""persuasion"":6,""marksmanship"":3,""wisdom"":4,""endurance"":8,""intelligence"":4,""animal_handling"":3,""crafting"":9,""entertaining"":4,""will"":5,""athletics"":8,""survival"":4,""knowledge"":4,""fighting"":3,""healing"":2}",TRUE
artist,Artist,🎨,"A creator of paintings, sculptures, and art.",classes/Class_Overview_artist.png,,,1000,entertainer,"{""crafting"":3,""entertaining"":2}","{""deception"":5,""animal_handling"":3,""entertaining"":4,""healing"":2,""influence"":3,""intelligence"":4,""thievery"":3,""will"":5,""knowledge"":4,""marksmanship"":3,""survival"":4,""endurance"":8,""crafting"":9,""athletics"":8,""wisdom"":4,""agility"":4,""persuasion"":6,""awareness"":5,""fighting"":3,""stealth"":4}",TRUE
assassin,Assassin,🗡️,A deadly killer for hire.,classes/Class_Overview_assassin.png,,rogue;spy;warrior;monk;nun,2500,spy;bountyhunter,"{""thievery"":3,""stealth"":5,""fighting"":4}","{""endurance"":9,""influence"":2,""thievery"":4,""athletics"":8,""crafting"":6,""awareness"":6,""survival"":3,""wisdom"":4,""animal_handling"":7,""marksmanship"":8,""knowledge"":6,""stealth"":9,""fighting"":9,""entertaining"":5,""deception"":8,""healing"":5,""agility"":8,""will"":5,""intelligence"":5,""persuasion"":2}",TRUE
bailiff,Bailiff,⚖️,An officer who enforces court orders.,classes/Class_Overview_bailiff.png,,watchman;guard;noble,750,sheriff;jailer,{},"{""will"":2,""crafting"":2,""fighting"":4,""persuasion"":8,""deception"":2,""endurance"":5,""agility"":3,""marksmanship"":3,""wisdom"":2,""healing"":2,""entertaining"":2,""thievery"":2,""stealth"":2,""influence"":5,""intelligence"":2,""knowledge"":2,""survival"":2,""awareness"":5,""animal_handling"":3,""athletics"":3}",TRUE
bandit,Bandit,💰,An outlaw who robs travelers.,classes/Class_Overview_bandit.png,,,750,highwayman;raider,"{""stealth"":2,""survival"":2,""fighting"":3}","{""intelligence"":2,""wisdom"":3,""stealth"":6,""will"":3,""agility"":6,""crafting"":2,""healing"":3,""knowledge"":2,""marksmanship"":6,""influence"":4,""thievery"":6,""animal_handling"":5,""survival"":6,""awareness"":5,""endurance"":5,""entertaining"":2,""athletics"":6,""persuasion"":6,""deception"":6,""fighting"":6}",TRUE
barbarian,Barbarian,⚔️,A fierce warrior from uncivilized lands.,classes/Class_Overview_barbarian.png,,,1000,raider;warrior,"{""endurance"":4,""survival"":2,""fighting"":4}","{""stealth"":5,""endurance"":8,""persuasion"":5,""marksmanship"":6,""thievery"":5,""wisdom"":5,""agility"":8,""deception"":5,""entertaining"":3,""fighting"":7,""crafting"":3,""survival"":9,""knowledge"":3,""athletics"":9,""healing"":3,""influence"":3,""intelligence"":3,""animal_handling"":6,""awareness"":6,""will"":9}",TRUE
bard,Bard,🎵,A traveling performer and storyteller.,classes/Class_Overview_bard.png,,entertainer;warrior;noble;soldier,1000,courtier;spy,"{""persuasion"":2,""entertaining"":4,""knowledge"":2}","{""will"":5,""knowledge"":7,""healing"":3,""fighting"":6,""persuasion"":9,""wisdom"":5,""influence"":7,""survival"":5,""agility"":6,""crafting"":5,""entertaining"":9,""thievery"":5,""stealth"":5,""deception"":8,""athletics"":5,""awareness"":7,""intelligence"":7,""animal_handling"":3,""marksmanship"":4,""endurance"":4}",TRUE
beggar,Beggar,🙏,A penniless soul surviving on charity.,classes/Class_Overview_beggar.png,,,0,thief;entertainer;cutpurse,{},"{""endurance"":6,""wisdom"":2,""stealth"":5,""knowledge"":2,""animal_handling"":2,""athletics"":3,""influence"":2,""marksmanship"":2,""awareness"":5,""persuasion"":4,""fighting"":2,""healing"":2,""agility"":3,""thievery"":5,""crafting"":2,""will"":2,""entertaining"":5,""intelligence"":2,""deception"":8,""survival"":5}",TRUE
boatman,Boatman,🚣,A skilled navigator of rivers and lakes.,classes/Class_Overview_boatman.png,,,500,sailor;smuggler,{},"{""will"":2,""knowledge"":2,""endurance"":7,""survival"":6,""thievery"":4,""marksmanship"":4,""entertaining"":4,""influence"":2,""intelligence"":2,""persuasion"":2,""wisdom"":2,""deception"":2,""stealth"":2,""fighting"":3,""athletics"":9,""healing"":2,""agility"":6,""awareness"":5,""crafting"":5,""animal_handling"":6}",TRUE
bountyhunter,Bountyhunter,🎯,A tracker who hunts fugitives for reward.,classes/Class_Overview_bountyhunter.png,,hunter;soldier;warrior;ranger,1500,assassin;mercenary,"{""marksmanship"":2,""awareness"":3,""fighting"":3}","{""intelligence"":3,""deception"":7,""endurance"":7,""animal_handling"":5,""stealth"":4,""thievery"":3,""will"":3,""wisdom"":3,""influence"":3,""fighting"":6,""crafting"":3,""agility"":7,""persuasion"":5,""survival"":4,""entertaining"":3,""marksmanship"":6,""awareness"":8,""knowledge"":3,""healing"":3,""athletics"":7}",TRUE
burgher,Burgher,🏠,A respectable middle-class citizen.,classes/Class_Overview_burgher.png,,merchant;villager,1500,noble;steward,{},"{""influence"":7,""knowledge"":5,""wisdom"":4,""agility"":3,""healing"":2,""thievery"":2,""endurance"":4,""crafting"":6,""intelligence"":6,""survival"":2,""athletics"":4,""fighting"":2,""deception"":5,""will"":2,""animal_handling"":3,""marksmanship"":2,""entertaining"":2,""stealth"":2,""persuasion"":7,""awareness"":4}",TRUE
burglar,Burglar,🔓,A thief who breaks into buildings.,classes/Class_Overview_burglar.png,,rogue,1000,assassin;fence,"{""stealth"":4,""agility"":3,""thievery"":3}","{""thievery"":8,""entertaining"":5,""animal_handling"":3,""influence"":3,""awareness"":7,""fighting"":3,""wisdom"":3,""marksmanship"":3,""agility"":7,""deception"":8,""healing"":2,""stealth"":8,""knowledge"":5,""survival"":3,""intelligence"":5,""persuasion"":5,""athletics"":4,""crafting"":5,""endurance"":3,""will"":3}",TRUE
castellan,Castellan,🏰,The keeper and commander of a castle.,classes/Class_Overview_castellan.png,,noble;knight;yeoman,2000,noble;marshal,"{""knowledge"":3,""awareness"":3,""influence"":4}","{""stealth"":3,""marksmanship"":5,""thievery"":3,""fighting"":5,""animal_handling"":6,""will"":6,""deception"":5,""survival"":5,""wisdom"":6,""persuasion"":8,""intelligence"":6,""awareness"":6,""endurance"":6,""healing"":4,""crafting"":6,""athletics"":5,""influence"":8,""agility"":5,""entertaining"":5,""knowledge"":6}",TRUE
cavalry,Cavalry,🐴,A mounted soldier skilled in horseback combat.,classes/Class_Overview_cavalry.png,,squire;soldier;warrior,1500,knight;marshal,"{""fighting"":4,""animal_handling"":2,""agility"":3}","{""deception"":2,""endurance"":6,""stealth"":2,""entertaining"":2,""wisdom"":2,""intelligence"":2,""survival"":4,""fighting"":6,""knowledge"":2,""will"":3,""marksmanship"":4,""awareness"":6,""animal_handling"":8,""persuasion"":4,""agility"":6,""athletics"":6,""influence"":4,""thievery"":2,""crafting"":4,""healing"":3}",TRUE
censor,Censor,📋,An official who examines and controls content.,classes/Class_Overview_censor.png,,witchhunter,1500,advisor;inquisitor,{},"{""animal_handling"":2,""wisdom"":6,""athletics"":2,""intelligence"":7,""fighting"":2,""entertaining"":2,""knowledge"":7,""thievery"":2,""deception"":6,""healing"":2,""survival"":2,""endurance"":2,""marksmanship"":2,""influence"":6,""will"":6,""awareness"":6,""agility"":2,""stealth"":2,""persuasion"":8,""crafting"":4}",TRUE
charlatan,Charlatan,🎭,A fraudster who deceives for profit.,classes/Class_Overview_charlatan.png,,entertainer;forger;hedgemage,750,conartist;forger,{},"{""influence"":7,""athletics"":4,""persuasion"":8,""knowledge"":5,""awareness"":6,""entertaining"":6,""agility"":5,""crafting"":5,""animal_handling"":3,""stealth"":4,""thievery"":4,""will"":4,""healing"":3,""deception"":9,""fighting"":2,""survival"":3,""endurance"":4,""intelligence"":5,""wisdom"":3,""marksmanship"":2}",TRUE
cleric,Cleric,✝️,A religious official devoted to divine service.,classes/Class_Overview_cleric.png,,,1000,priest;healer,"{""will"":3,""healing"":2}","{""entertaining"":4,""awareness"":5,""influence"":7,""fighting"":3,""thievery"":2,""agility"":4,""stealth"":2,""deception"":3,""persuasion"":8,""healing"":7,""animal_handling"":3,""survival"":4,""endurance"":5,""marksmanship"":2,""wisdom"":8,""crafting"":4,""athletics"":4,""intelligence"":5,""will"":7,""knowledge"":6}",TRUE
coachman,Coachman,🐎,A driver of horse-drawn carriages.,classes/Class_Overview_coachman.png,,,500,messenger;smuggler,{},"{""endurance"":5,""influence"":2,""survival"":3,""marksmanship"":3,""persuasion"":2,""wisdom"":2,""fighting"":3,""stealth"":3,""deception"":2,""animal_handling"":6,""knowledge"":2,""intelligence"":2,""athletics"":4,""agility"":4,""crafting"":4,""thievery"":2,""entertaining"":2,""awareness"":4,""will"":2,""healing"":2}",TRUE
conartist,Conartist,🎩,A swindler who gains trust to steal.,classes/Class_Overview_conartist.png,,charlatan;rogue;entertainer,1000,spy;fence,{},"{""endurance"":4,""marksmanship"":2,""healing"":3,""crafting"":5,""awareness"":6,""intelligence"":5,""will"":4,""fighting"":2,""animal_handling"":3,""deception"":9,""thievery"":4,""wisdom"":3,""knowledge"":5,""athletics"":4,""agility"":5,""entertaining"":6,""influence"":7,""stealth"":4,""persuasion"":8,""survival"":3}",TRUE
courtesan,Courtesan,💋,A sophisticated companion of the nobility.,classes/Class_Overview_courtesan.png,,servant;whore;noble,1000,courtier;spy,"{""entertaining"":3,""persuasion"":2,""influence"":2}","{""wisdom"":3,""endurance"":3,""animal_handling"":2,""deception"":6,""will"":4,""stealth"":2,""crafting"":3,""knowledge"":5,""influence"":7,""persuasion"":8,""thievery"":2,""intelligence"":5,""awareness"":5,""athletics"":4,""entertaining"":6,""healing"":2,""agility"":5,""survival"":2,""marksmanship"":2,""fighting"":2}",TRUE
courtier,Courtier,👑,An attendant at a royal court.,classes/Class_Overview_courtier.png,,noble;burgher;courtesan,1500,noble;advisor,"{""persuasion"":3,""awareness"":2,""influence"":4}","{""entertaining"":5,""animal_handling"":3,""thievery"":2,""fighting"":2,""marksmanship"":2,""persuasion"":8,""knowledge"":6,""survival"":3,""will"":4,""healing"":2,""influence"":8,""intelligence"":5,""crafting"":4,""endurance"":4,""agility"":4,""wisdom"":4,""deception"":5,""awareness"":5,""stealth"":3,""athletics"":4}",TRUE
craftsman,Craftsman,🔨,A skilled worker in a particular trade.,classes/Class_Overview_craftsman.png,,apprentice,500,artisan;smith;engineer,"{""crafting"":3}","{""athletics"":7,""endurance"":7,""survival"":4,""will"":4,""thievery"":3,""stealth"":4,""marksmanship"":3,""animal_handling"":4,""intelligence"":5,""entertaining"":4,""influence"":4,""fighting"":4,""crafting"":8,""healing"":2,""wisdom"":4,""awareness"":5,""deception"":3,""persuasion"":5,""agility"":4,""knowledge"":5}",TRUE
cultist,Cultist,🕯️,A follower of forbidden religious practices.,classes/Class_Overview_cultist.png,,zealot;priest;nun;monk;witch;hedgemage,1500,warlock;necromancer,{},"{""persuasion"":4,""knowledge"":4,""endurance"":3,""crafting"":2,""stealth"":3,""wisdom"":6,""healing"":2,""thievery"":2,""agility"":2,""entertaining"":3,""influence"":4,""animal_handling"":3,""athletics"":2,""awareness"":3,""survival"":3,""intelligence"":3,""will"":8,""marksmanship"":2,""fighting"":2,""deception"":5}",TRUE
cutpurse,Cutpurse,✂️,A pickpocket and petty thief.,classes/Class_Overview_cutpurse.png,,,400,thief;pickpocket,"{""agility"":2,""thievery"":3,""stealth"":2}","{""stealth"":7,""endurance"":2,""intelligence"":2,""wisdom"":2,""awareness"":5,""survival"":2,""will"":2,""knowledge"":2,""entertaining"":3,""healing"":2,""crafting"":2,""animal_handling"":2,""deception"":6,""marksmanship"":2,""influence"":2,""fighting"":2,""athletics"":3,""persuasion"":3,""thievery"":8,""agility"":5}",TRUE
